orid,area,sub,type,spotlight,n_claims,max_pts,title,authors,arxiv,openreview,alphaxiv,hf
fVpGsFEgQU,Social Aspects,Safety,Poster,False,6,12,"Sparse Models, Sparse Safety: Unsafe Routes in Mixture-of-Experts LLMs",Yukun Jiang; Hai Huang; Mingjie Li; Yage Zhang; Michael Backes; Yang Zhang,2602.08621,https://openreview.net/forum?id=fVpGsFEgQU,2602.08621,
1dWG9PJSVp,Applications,Robotics,Poster,False,2,4,FlatLab: A Unified Methodology Framework and Simulation-Based Benchmark for Robotic Manipulation of Flat Objects,Xingyu Zhu; Wenshuo Han; Zhouyu Wang; Yuran Wang; Ruihai Wu; Hao Dong; Fan Tang; Hechang Chen; Hyung Jin Chang; Yixing Gao,,https://openreview.net/forum?id=1dWG9PJSVp,,
eopPyXUmDk,Probabilistic Methods,,Poster,False,2,4,Robust Bayes-Assisted Conformal Prediction,Kianoosh Ashouritaklimi; Stefano Cortinovis; Francois Caron,,https://openreview.net/forum?id=eopPyXUmDk,,
v0o0mofTr6,Deep Learning,Large Language Models,Poster,False,5,10,TokenSwap: Backdoor Attack on the Compositional Understanding of Large Vision-Language Models,Zhifang Zhang; Qiqi Tao; Jiaqi Lv; Na Zhao; Lei Feng; Joey Tianyi Zhou,2509.24566,https://openreview.net/forum?id=v0o0mofTr6,2509.24566,
x7NGYPNlgs,Deep Learning,Graph Neural Networks,Poster,True,2,4,Adaptive Memory Retention in Dynamic Graphs,Fabrizio De Castelli; Alessio Gravina; Moshe Eliasof; Carola-Bibiane Schönlieb; Davide Bacciu,,https://openreview.net/forum?id=x7NGYPNlgs,,
ppIhZgFCTI,Theory,Reinforcement Learning And Planning,Poster,False,5,10,Towards Parameter-Free Temporal Difference Learning,Yunxiang LI; Mark Schmidt; Reza Babanezhad Harikandeh; Sharan Vaswani,2603.02577,https://openreview.net/forum?id=ppIhZgFCTI,2603.02577,
e2xQL4BWrY,Deep Learning,Large Language Models,Poster,False,2,4,MRPO: Magnitude-Regularized Policy Optimization via L1 Constraints,Wei Han; Yuanxing Liu; Mingda Li; Ruiyu Xiao; Weinan Zhang; Ting Liu,,https://openreview.net/forum?id=e2xQL4BWrY,,
0YKTO2A04S,Deep Learning,Foundation Models,Poster,False,2,4,ACO-MoE-LoRA: Evolving-while-Training for Adapting Segment Anything Model 2 to Specialized Domains,Kaiyi Luo; Bangjun Wang; Li Zhang; Fanzhang Li; Fei Zhu; Jiaqing Fan,,https://openreview.net/forum?id=0YKTO2A04S,,
9DfcvXahRb,Deep Learning,Large Language Models,Poster,False,2,4,Beyond Drift: Stabilizing Subjective LLM Evaluation with Information-Theoretic Rubrics,Wang Xu; Shan Zhao; Haolan Chen; Tianwei Yan; Chengyu Wang; Shizhao Chen; Qian Wan,,https://openreview.net/forum?id=9DfcvXahRb,,
kovWCrgHxo,Applications,Robotics,Poster,False,5,10,Scalable and General Whole-Body Control for Cross-Humanoid Locomotion,Yufei Xue; Yunfeng Lin; Wentao Dong; Yang Tang; Jingbo Wang; Jiangmiao Pang; Ming Zhou; Minghuan Liu; Weinan Zhang,2602.05791,https://openreview.net/forum?id=kovWCrgHxo,2602.05791,
